feature_id,modifier_rank,name,roles
outer_001_feature_001,,absolute_lymphocyte_count,confounder
outer_001_feature_002,,absolute_neutrophil_count,confounder
outer_001_feature_003,,acetaminophen_administered,confounder
outer_001_feature_004,,actionable_molecular_alterations,
outer_001_feature_005,,acute_kidney_injury_history,
outer_001_feature_006,,adjuvant_chemotherapy_administered,confounder
outer_001_feature_007,,adrenal_metastasis_presence,confounder
outer_001_feature_008,,adrenal_nodule_size,confounder
outer_001_feature_009,,age,confounder
outer_001_feature_010,,airway_involvement,confounder
outer_001_feature_011,,albuterol_use,confounder
outer_001_feature_012,,alcohol_use,confounder
outer_001_feature_013,,alk_mutation_status,
outer_001_feature_014,,alk_rearrangement_status,
outer_001_feature_015,,alkaline_phosphatase_level,confounder
outer_001_feature_016,,alt_level,
outer_001_feature_017,17.0,ambulation_status,confounder
outer_001_feature_018,,anemia_type,
outer_001_feature_019,,anticoagulant_use,confounder
outer_001_feature_020,,antidiabetic_use,
outer_001_feature_021,,antihypertensive_use,confounder
outer_001_feature_022,7.0,anxiety_present,effect_modifier
outer_001_feature_023,,appendectomy_history,
outer_001_feature_024,,appetite_status,
outer_001_feature_025,,asbestos_exposure_history,
outer_001_feature_026,,ast_level,
outer_001_feature_027,,atorvastatin_dose,confounder
outer_001_feature_028,,atrial_fibrillation_presence,
outer_001_feature_029,,audiogram_status,
outer_001_feature_030,,axial_structure_abnormality,
outer_001_feature_031,,azithromycin_use,
outer_001_feature_032,13.0,biomarker_egfr_status,confounder;effect_modifier
outer_001_feature_033,,biomarker_fgfr_status,confounder
outer_001_feature_034,,biopsy_method,confounder
outer_001_feature_035,,bisphosphonate_therapy_status,confounder
outer_001_feature_036,,blood_pressure,confounder
outer_001_feature_037,,blood_urea_nitrogen,confounder
outer_001_feature_038,,bmi,confounder
outer_001_feature_039,,body_temperature,
outer_001_feature_040,,body_weight,confounder
outer_001_feature_041,,bolus_dose_confirmed,
outer_001_feature_042,,bone_lesion_characteristics,confounder
outer_001_feature_043,6.0,bone_metastasis_presence,confounder;effect_modifier
outer_001_feature_044,,bone_pain_location,confounder
outer_001_feature_045,,bone_pain_status,confounder
outer_001_feature_046,,booster_vaccination_indication,
outer_001_feature_047,,braf_mutation_status,confounder
outer_001_feature_048,,brain_edema_status,confounder
outer_001_feature_049,18.0,brain_lesion_count,confounder
outer_001_feature_050,19.0,brain_lesion_size,confounder
outer_001_feature_051,,brain_metastases_location,confounder
outer_001_feature_052,11.0,brain_metastases_presence,effect_modifier
outer_001_feature_053,,brain_structure_enhancement,confounder
outer_001_feature_054,,brainstem_signal,
outer_001_feature_055,,brainstem_size,
outer_001_feature_056,,calorie_intake,
outer_001_feature_057,,calvarium_lytic_sclerotic_lesions,
outer_001_feature_058,,cancer_diagnosis,
outer_001_feature_059,,cancer_location,
outer_001_feature_060,4.0,cancer_related_fatigue_severity,effect_modifier
outer_001_feature_061,,carboplatin_administered,
outer_001_feature_062,,cataracts,
outer_001_feature_063,,cavernous_sinus_enhancement,confounder
outer_001_feature_064,,cdkn2a_mutation_status,
outer_001_feature_065,,cea_level,
outer_001_feature_066,,cefepime_use,
outer_001_feature_067,,cerebellar_hemisphere_signal,confounder
outer_001_feature_068,,cerebellar_hemisphere_size,
outer_001_feature_069,,cerebellar_white_matter_lesion_presence,
outer_001_feature_070,,cerebral_gray_matter_signal_intensity,
outer_001_feature_071,,cerebral_white_matter_signal_intensity,
outer_001_feature_072,,chemotherapy_cycle_count,confounder
outer_001_feature_073,21.0,chemotherapy_regimen,confounder
outer_001_feature_074,,cholecystectomy_history,confounder
outer_001_feature_075,,chronic_kidney_disease_stage,confounder
outer_001_feature_076,26.0,ck5_6_expression,
outer_001_feature_077,27.0,ck7_expression,
outer_001_feature_078,,clinical_decline,
outer_001_feature_079,,clinical_phenotype,confounder
outer_001_feature_080,,clinical_severity_score,
outer_001_feature_081,,community_acquired_pneumonia_presence,confounder
outer_001_feature_082,31.0,comorbidities,confounder
outer_001_feature_083,,complete_blood_count_result,
outer_001_feature_084,,comprehensive_metabolic_panel_result,
outer_001_feature_085,5.0,confusion_present,effect_modifier
outer_001_feature_086,,contrast_agent_concentration,
outer_001_feature_087,,copd_presence,confounder
outer_001_feature_088,,copd_severity,confounder
outer_001_feature_089,,coronary_artery_disease,
outer_001_feature_090,,cough_presence,
outer_001_feature_091,,cough_productivity,confounder
outer_001_feature_092,,cough_severity,confounder
outer_001_feature_093,,covid19_infection_status,
outer_001_feature_094,,cranial_nerve_ii_vi_status,
outer_001_feature_095,,creatinine_clearance,confounder
outer_001_feature_096,,creatinine_level,confounder
outer_001_feature_097,,crp_level,confounder
outer_001_feature_098,,current_medications,
outer_001_feature_099,,deconditioning,confounder
outer_001_feature_100,,diastolic_blood_pressure,confounder
outer_001_feature_101,,disease_recurrence,
outer_001_feature_102,,disease_status,
outer_001_feature_103,3.0,dizziness_present,effect_modifier
outer_001_feature_104,,dural_sinus_patency,
outer_001_feature_105,,dysplasia_status,
outer_001_feature_106,,dyspnea,confounder
outer_001_feature_107,,dyspnea_on_exertion,confounder
outer_001_feature_108,8.0,dyspnea_severity,confounder;effect_modifier
outer_001_feature_109,,ecog_performance_status,confounder
outer_001_feature_110,,edema_presence,
outer_001_feature_111,,egfr_mutation_status,
outer_001_feature_112,,embolism_presence,
outer_001_feature_113,,emphysema,
outer_001_feature_114,,employment_status,confounder
outer_001_feature_115,,enzyme_elevation,
outer_001_feature_116,,eortc_qlq_c30_cognitive_function,confounder
outer_001_feature_117,,eortc_qlq_c30_emotional_function,confounder
outer_001_feature_118,,eortc_qlq_c30_global_health,confounder
outer_001_feature_119,,eortc_qlq_c30_nausea,
outer_001_feature_120,,eortc_qlq_c30_physical_function,confounder
outer_001_feature_121,,eortc_qlq_c30_social_function,confounder
outer_001_feature_122,,epidural_hemorrhage,
outer_001_feature_123,,erythema_presence,
outer_001_feature_124,,esophagitis,
