method,seed,cohort,n,correlation,rmse,mae,bias,estimated_mean,true_mean,estimated_sd,true_sd,coverage_95,r_loss,ate_aipw,ate_aipw_se,ate_aipw_lower_95,ate_aipw_upper_95,ate_aipw_bias,fit_n,confounders,modifiers
matched_224,120042,fixed_180,180,0.3487029769809168,0.1876074616170587,0.14586701013618963,0.013459056585915589,-0.049324237605346176,-0.06278329419126177,0.028283942116329838,0.1950995831991942,0.5111111111111111,0.1897974586321265,,,,,,,,
matched_8,120042,fixed_180,180,0.3521023998640911,0.18267075347725978,0.14306365243057273,-0.004441209989207576,-0.06722450418046935,-0.06278329419126177,0.07070495985105041,0.1950995831991942,0.4888888888888889,0.1882113832454738,,,,,,,,
matched_16,120042,fixed_180,180,0.34415792475869117,0.18322531541297551,0.1417311101754646,0.00029094336024432173,-0.06249235083101745,-0.06278329419126177,0.06313953291148591,0.1950995831991942,0.5277777777777778,0.18840904933224237,,,,,,,,
matched_224,1120042,fixed_180,180,0.1745329314118073,0.1934027326952568,0.14996367434583585,0.02196677654165436,-0.040816517649607406,-0.06278329419126177,0.029841604138904312,0.1950995831991942,0.5055555555555555,0.19006586232721012,,,,,,,,
matched_8,1120042,fixed_180,180,0.36539293741281587,0.18170511697929653,0.14239226045084458,-0.0021224517423131684,-0.06490574593357494,-0.06278329419126177,0.06577641194561852,0.1950995831991942,0.5,0.18841829618638523,,,,,,,,
matched_16,1120042,fixed_180,180,0.40335979680075085,0.17916922001586766,0.13931157015652304,0.0003854220943723125,-0.06239787209688947,-0.06278329419126177,0.06351085681067326,0.1950995831991942,0.5222222222222223,0.18870305124120804,,,,,,,,
matched_224,2120042,fixed_180,180,0.24233530668248904,0.19271939192745854,0.14859398187226372,0.0289871556384043,-0.03379613855285747,-0.06278329419126177,0.025553628918915324,0.1950995831991942,0.4722222222222222,0.1897392960891477,,,,,,,,
matched_8,2120042,fixed_180,180,0.37403244395401264,0.180954325914416,0.14138435953681763,0.001707779523247064,-0.06107551466801471,-0.06278329419126177,0.07128636256053725,0.1950995831991942,0.5555555555555556,0.18811254907421554,,,,,,,,
matched_16,2120042,fixed_180,180,0.37263936237219136,0.18183454950606096,0.13893792836199187,0.011167806882509899,-0.05161548730875187,-0.06278329419126177,0.06002165980131591,0.1950995831991942,0.5055555555555555,0.18889509590432496,,,,,,,,
production_8C_8M,100042,native_eligible,157,0.2911687559047272,0.18970552426122017,0.1491374655259212,-0.026221890413754178,-0.09792151841252174,-0.07169962799876757,0.06466718653646951,0.19623618655629857,0.5222929936305732,,0.09119060586788465,0.0896883356147267,-0.08459853193697968,0.26697974367274896,0.16289023386665222,585.0,8.0,8.0
production_189C_16M,100042,native_eligible,170,0.3609361675497539,0.18455413495586287,0.14288105478317883,-0.01078924149705033,-0.0770089967745037,-0.06621975527745337,0.05990225920983662,0.19718570412679387,0.5529411764705883,,0.04714131953122528,0.06991337762300201,-0.08988890060985866,0.1841715396723092,0.11336107480867866,645.0,189.0,16.0
production_8C_8M,100042,common_eligible,154,0.2920026379522984,0.19055128743840213,0.14939636087649288,-0.026352183304551788,-0.0978969004819201,-0.07154471717736831,0.06527762017747264,0.1971553659156488,0.5194805194805194,,0.09584327829417849,0.09119618387711242,-0.08290124210496186,0.27458779869331884,0.1673879954715468,,,
production_189C_16M,100042,common_eligible,154,0.360746685242961,0.18424287760251296,0.1413729196119308,-0.00562301649546835,-0.07716773367283666,-0.07154471717736831,0.06101952953872521,0.1971553659156488,0.564935064935065,,0.058399066041065734,0.07527566240930984,-0.08914123228118156,0.20593936436331303,0.12994378321843403,,,
production_8C_8M,1100042,native_eligible,157,0.279210026233336,0.1886892455446428,0.14775740755717257,0.0027128704929303125,-0.06898675750583726,-0.07169962799876757,0.06426194106776503,0.19623618655629857,0.45222929936305734,,0.07818757883378094,0.08959855218434729,-0.09742558344753974,0.25380074111510165,0.14988720683254853,592.0,8.0,8.0
production_189C_16M,1100042,native_eligible,170,0.3711322397997127,0.18347032191456397,0.14128659321181228,0.010269740172529246,-0.05595001510492413,-0.06621975527745337,0.06776989495041763,0.19718570412679387,0.5352941176470588,,0.05973407802982637,0.07104060778195481,-0.07950551322280508,0.1989736692824578,0.12595383330727974,686.0,189.0,16.0
production_8C_8M,1100042,common_eligible,154,0.28220905572868227,0.1893843226337686,0.14797292688113675,0.002578229937319065,-0.06896648724004925,-0.07154471717736831,0.06487145622698494,0.1971553659156488,0.45454545454545453,,0.08266600578970637,0.09111071391906544,-0.0959109934916619,0.2612430050710747,0.15421072296707466,,,
production_189C_16M,1100042,common_eligible,154,0.36326952400296153,0.1843213083646454,0.14098055011831045,0.01493873134168179,-0.05660598583568651,-0.07154471717736831,0.06838914600718875,0.1971553659156488,0.538961038961039,,0.06386558916886217,0.07673468629871509,-0.08653439597661941,0.21426557431434376,0.13541030634623047,,,
production_8C_8M,2100042,native_eligible,157,0.2933061303471869,0.1880426976745579,0.14555618818085098,0.01267316643543065,-0.05902646156333692,-0.07169962799876757,0.05946677033353335,0.19623618655629857,0.535031847133758,,0.09519420088178442,0.0880223821747112,-0.07732966818064953,0.2677180699442184,0.166893828880552,583.0,8.0,8.0
production_189C_16M,2100042,native_eligible,170,0.46476353903349166,0.17868841688780654,0.13775671398763306,-0.0037032903718966946,-0.06992304564935006,-0.06621975527745337,0.053797799713941025,0.19718570412679387,0.5647058823529412,,0.04712989072058556,0.06992060196881823,-0.08991448913829818,0.18417427057946928,0.11334964599803893,661.0,189.0,16.0
production_8C_8M,2100042,common_eligible,154,0.2942546157479561,0.1888619069097698,0.1459288926300624,0.012653516692498016,-0.05889120048487028,-0.07154471717736831,0.060033764354784594,0.1971553659156488,0.5324675324675324,,0.10006298483629182,0.08949919540775361,-0.07535543816290526,0.2754814078354889,0.17160770201366013,,,
production_189C_16M,2100042,common_eligible,154,0.45958216931633133,0.17881748960610755,0.1368469762873186,0.0007203165230802343,-0.07082440065428808,-0.07154471717736831,0.05434692380677912,0.1971553659156488,0.5714285714285714,,0.05839429513612951,0.07528352494035054,-0.08916141374695755,0.20595000401921656,0.1299390123134978,,,
