block,feature_id,feature_name,encoded_term,coefficient
treatment,,treatment,treatment,0.0
main,outer_001_feature_001,absolute_lymphocyte_count,absolute_lymphocyte_count:value,-0.0018619334478044544
main,outer_001_feature_001,absolute_lymphocyte_count,absolute_lymphocyte_count:missing,0.0
main,outer_001_feature_002,absolute_neutrophil_count,absolute_neutrophil_count:value,-0.08643137130656633
main,outer_001_feature_002,absolute_neutrophil_count,absolute_neutrophil_count:missing,0.0
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=Yes,0.0
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=No,0.0
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=__missing__,0.0
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=Present,0.0
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=Absent,0.0
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=__missing__,0.0
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=Yes,0.0
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=No,0.0
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=__missing__,0.0
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=Yes,0.0
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=No,0.0
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=__missing__,0.0
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=Present,0.0
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=Absent,0.0
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=__missing__,0.0
main,outer_001_feature_008,adrenal_nodule_size,adrenal_nodule_size:value,-0.13491421212101476
main,outer_001_feature_008,adrenal_nodule_size,adrenal_nodule_size:missing,0.0
main,outer_001_feature_009,age,age:value,-0.4702921797512156
main,outer_001_feature_009,age,age:missing,0.0
main,outer_001_feature_010,airway_involvement,airway_involvement:category=Present,0.0
main,outer_001_feature_010,airway_involvement,airway_involvement:category=Absent,0.0
main,outer_001_feature_010,airway_involvement,airway_involvement:category=__missing__,0.0
main,outer_001_feature_011,albuterol_use,albuterol_use:category=Yes,0.0
main,outer_001_feature_011,albuterol_use,albuterol_use:category=No,0.0
main,outer_001_feature_011,albuterol_use,albuterol_use:category=__missing__,0.0
main,outer_001_feature_012,alcohol_use,alcohol_use:value,0.0
main,outer_001_feature_012,alcohol_use,alcohol_use:missing,0.0
main,outer_001_feature_013,alk_mutation_status,alk_mutation_status:category=Wild Type,0.0
main,outer_001_feature_013,alk_mutation_status,alk_mutation_status:category=Positive,0.0
main,outer_001_feature_013,alk_mutation_status,alk_mutation_status:category=__missing__,0.0
main,outer_001_feature_014,alk_rearrangement_status,alk_rearrangement_status:category=Positive,0.0
main,outer_001_feature_014,alk_rearrangement_status,alk_rearrangement_status:category=Negative,0.0
main,outer_001_feature_014,alk_rearrangement_status,alk_rearrangement_status:category=__missing__,0.0
main,outer_001_feature_015,alkaline_phosphatase_level,alkaline_phosphatase_level:value,0.0
main,outer_001_feature_015,alkaline_phosphatase_level,alkaline_phosphatase_level:missing,0.0
main,outer_001_feature_016,alt_level,alt_level:value,0.0
main,outer_001_feature_016,alt_level,alt_level:missing,0.0
main,outer_001_feature_017,ambulation_status,ambulation_status:category=Independent,0.10545527974431913
main,outer_001_feature_017,ambulation_status,ambulation_status:category=Assisted,0.0
