training_cohort,concept,oracle_role,direct_feature_ids,main_selected,interaction_selected,any_selected,selected_main_terms,selected_interaction_terms
all_800,age,confounder,outer_001_feature_009,True,False,True,age:value,
all_800,sex,confounder,outer_001_feature_302,False,False,False,,
all_800,ecog_performance_status,confounder,outer_001_feature_109,True,False,True,ecog_performance_status:category=0;ecog_performance_status:category=1;ecog_performance_status:category=2;ecog_performance_status:category=3,
all_800,creatinine_clearance,confounder,outer_001_feature_095,False,True,True,,creatinine_clearance:value
all_800,prior_platinum_therapy,confounder,outer_001_feature_267,True,True,True,prior_platinum_chemotherapy:category=Yes;prior_platinum_chemotherapy:category=No,prior_platinum_chemotherapy:category=No
all_800,histology_type,effect_modifier,outer_001_feature_192,False,False,False,,
all_800,egfr_mutation_status,effect_modifier,outer_001_feature_032;outer_001_feature_111,False,False,False,,
all_800,baseline_nlr,effect_modifier,outer_001_feature_228,False,True,True,,neutrophil_to_lymphocyte_ratio:value
all_800,brain_metastases_status,effect_modifier,outer_001_feature_052,True,False,True,brain_metastases_presence:category=absent,
all_800,baseline_hemoglobin,effect_modifier,outer_001_feature_155,False,False,False,,
eligible_720,age,confounder,outer_001_feature_009,True,False,True,age:value,
eligible_720,sex,confounder,outer_001_feature_302,False,False,False,,
eligible_720,ecog_performance_status,confounder,outer_001_feature_109,True,False,True,ecog_performance_status:category=0;ecog_performance_status:category=1;ecog_performance_status:category=2;ecog_performance_status:category=3,
eligible_720,creatinine_clearance,confounder,outer_001_feature_095,False,True,True,,creatinine_clearance:value
eligible_720,prior_platinum_therapy,confounder,outer_001_feature_267,True,False,True,prior_platinum_chemotherapy:category=Yes;prior_platinum_chemotherapy:category=No,
eligible_720,histology_type,effect_modifier,outer_001_feature_192,False,False,False,,
eligible_720,egfr_mutation_status,effect_modifier,outer_001_feature_032;outer_001_feature_111,False,False,False,,
eligible_720,baseline_nlr,effect_modifier,outer_001_feature_228,False,True,True,,neutrophil_to_lymphocyte_ratio:value
eligible_720,brain_metastases_status,effect_modifier,outer_001_feature_052,True,False,True,brain_metastases_presence:category=absent,
eligible_720,baseline_hemoglobin,effect_modifier,outer_001_feature_155,False,False,False,,
