min_samples_leaf,seed,reused_baseline,correlation,rmse,mae,bias,prediction_sd,r_loss,median_leaves_per_tree,median_effect_patients_per_leaf,median_depth
10,120042,True,0.6737123348863424,0.14343243036633882,0.10922266817884661,-0.029877249023563545,0.10764723380447369,0.16815561371410034,17.0,17.0,7.0
10,1120042,True,0.6535953039624556,0.14619133770650816,0.11182016963382044,-0.030141235891445448,0.10871071561238299,0.1681791800715005,18.0,17.0,7.0
10,2120042,True,0.6715107017016366,0.14559991433655922,0.11206793316426573,-0.03488327516608802,0.10261194075620485,0.16813804757816606,18.0,17.0,7.0
20,120042,False,0.6803313898627593,0.1485418419770338,0.11379550829770682,-0.03322752428225958,0.08367250867983275,0.16865882082168512,9.0,32.0,5.0
20,1120042,False,0.668136050363469,0.14815303856961995,0.11286313720832503,-0.030397492274336062,0.08766238628138512,0.16821792329971472,9.0,33.0,5.0
20,2120042,False,0.6639901945224934,0.15096260491510166,0.11435834944543602,-0.035526312256642274,0.08303830438386482,0.16818582396074683,9.0,33.0,5.0
40,120042,False,0.6849820980479604,0.1542501679611105,0.11844380042794793,-0.0341810636924849,0.06678302544336838,0.1690874831575919,5.0,64.0,3.0
40,1120042,False,0.663749969062733,0.15367991644851955,0.11662507153171753,-0.032451093057811284,0.07214403606538208,0.1686537050495743,5.0,62.0,3.0
40,2120042,False,0.6573172219562782,0.15717941879255734,0.12064619355466419,-0.03638975628506065,0.06624514183328435,0.16898935936977005,5.0,63.0,3.0
80,120042,False,0.6779231408122555,0.1642356750049493,0.12735359952119218,-0.03507508865289757,0.046090091356271276,0.1699391780550033,3.0,115.0,2.0
80,1120042,False,0.679884943670277,0.163176773894559,0.12652227609126535,-0.03365037361211722,0.04741394112481168,0.16979060022034992,3.0,117.0,2.0
80,2120042,False,0.668388011312199,0.16518438496636334,0.12812455988834973,-0.03672513121664352,0.045909783946731356,0.17009096080978728,3.0,113.5,2.0
