method,seed,cohort,n,correlation,rmse,mae,bias,estimated_mean,true_mean,estimated_sd,true_sd,coverage_95,r_loss,fit_n,ate_aipw,ate_aipw_bias
current_joint,120042,matched_180,180,0.32673501480554645,0.1850215130427611,0.1446593614624246,0.014612103470447415,-0.048171190720814355,-0.06278329419126177,0.05937154388010211,0.1950995831991942,0.5833333333333334,0.19040084861933432,,,
llm_adjudication,120042,matched_180,180,0.27362336695697637,0.19251856933838113,0.1504199552977482,0.022525661134929736,-0.04025763305633204,-0.06278329419126177,0.09001681435960458,0.1950995831991942,0.5388888888888889,0.19175427081253937,,,
permissive_union,120042,matched_180,180,0.3035005497561885,0.18759833760235764,0.14507656171322558,0.019040422638385034,-0.04374287155287674,-0.06278329419126177,0.04269282655674052,0.1950995831991942,0.5166666666666667,0.18963754837942434,,,
all_candidates,120042,matched_180,180,0.24819612938852537,0.19092715446552083,0.14779479357722336,0.01424936260516394,-0.04853393158609784,-0.06278329419126177,0.02537800959579319,0.1950995831991942,0.5166666666666667,0.19082924460938253,,,
all_candidates_all_split_features,120042,matched_180,180,0.35962464076590706,0.18604422306063045,0.14432212930113128,0.014326543685018381,-0.048456750506243394,-0.06278329419126177,0.03457963544790208,0.1950995831991942,0.5611111111111111,0.1898236270340116,,,
multi_model_matched,120042,matched_180,180,0.3521023998640911,0.18267075347725978,0.14306365243057273,-0.004441209989207576,-0.06722450418046935,-0.06278329419126177,0.07070495985105041,0.1950995831991942,0.4888888888888889,0.1882113832454738,,,
multi_model_broad,120042,matched_180,180,0.3487029769809168,0.1876074616170587,0.14586701013618963,0.013459056585915589,-0.049324237605346176,-0.06278329419126177,0.028283942116329838,0.1950995831991942,0.5111111111111111,0.1897974586321265,,,
current_joint,1120042,matched_180,180,0.2933902187975126,0.18716300263546995,0.14651192299300994,0.015537745295339588,-0.04724554889592218,-0.06278329419126177,0.05832367573565745,0.1950995831991942,0.5333333333333333,0.19118914841626797,,,
llm_adjudication,1120042,matched_180,180,0.3005362777968267,0.18986654232229858,0.1469078018120358,0.027355677146716797,-0.03542761704454499,-0.06278329419126177,0.08461773451632909,0.1950995831991942,0.5666666666666667,0.1911919876759637,,,
permissive_union,1120042,matched_180,180,0.3430126783817647,0.1878157242695763,0.14496279696128123,0.03245932786533267,-0.030323966325929104,-0.06278329419126177,0.04170664311651883,0.1950995831991942,0.5111111111111111,0.18902591426221538,,,
all_candidates,1120042,matched_180,180,0.14919538408787417,0.1946224660680231,0.15096608211326135,0.02499253608134821,-0.037790758109913565,-0.06278329419126177,0.023049636572933335,0.1950995831991942,0.5277777777777778,0.18999638847298372,,,
all_candidates_all_split_features,1120042,matched_180,180,0.32329901650634524,0.18906934157134825,0.14491324055868088,0.02786212575622718,-0.034921168435034594,-0.06278329419126177,0.03331664533769678,0.1950995831991942,0.5555555555555556,0.1891984141743051,,,
multi_model_matched,1120042,matched_180,180,0.36539293741281587,0.18170511697929653,0.14239226045084458,-0.0021224517423131684,-0.06490574593357494,-0.06278329419126177,0.06577641194561852,0.1950995831991942,0.5,0.18841829618638523,,,
multi_model_broad,1120042,matched_180,180,0.1745329314118073,0.1934027326952568,0.14996367434583585,0.02196677654165436,-0.040816517649607406,-0.06278329419126177,0.029841604138904312,0.1950995831991942,0.5055555555555555,0.19006586232721012,,,
current_joint,2120042,matched_180,180,0.2675125388061306,0.1908928631708376,0.14935980335626722,0.033165988698223764,-0.029617305493038013,-0.06278329419126177,0.05265695018773733,0.1950995831991942,0.46111111111111114,0.19069534488334425,,,
llm_adjudication,2120042,matched_180,180,0.2834853053871821,0.19258701129945144,0.15096773329290575,0.03356561644444409,-0.029217677746817685,-0.06278329419126177,0.08626297551877929,0.1950995831991942,0.5833333333333334,0.19094217818567702,,,
permissive_union,2120042,matched_180,180,0.3682573751828314,0.1871194322079514,0.143339437544113,0.0317762583683585,-0.031007035822903282,-0.06278329419126177,0.038649340923312236,0.1950995831991942,0.5,0.18909221049779923,,,
all_candidates,2120042,matched_180,180,0.15488835042908458,0.19674269621949558,0.15313550297335815,0.03928452911195723,-0.023498765079304547,-0.06278329419126177,0.02651272637048516,0.1950995831991942,0.5277777777777778,0.19005974048949337,,,
all_candidates_all_split_features,2120042,matched_180,180,0.32625080008918084,0.18965883743836234,0.14532774518614286,0.0302175317570661,-0.03256576243419567,-0.06278329419126177,0.031324500296309024,0.1950995831991942,0.5222222222222223,0.19036622571520495,,,
multi_model_matched,2120042,matched_180,180,0.37403244395401264,0.180954325914416,0.14138435953681763,0.001707779523247064,-0.06107551466801471,-0.06278329419126177,0.07128636256053725,0.1950995831991942,0.5555555555555556,0.18811254907421554,,,
multi_model_broad,2120042,matched_180,180,0.24233530668248904,0.19271939192745854,0.14859398187226372,0.0289871556384043,-0.03379613855285747,-0.06278329419126177,0.025553628918915324,0.1950995831991942,0.4722222222222222,0.1897392960891477,,,
multi_model_production,100042,production_eligible,157,0.2911687559047272,0.18970552426122017,0.1491374655259212,-0.026221890413754178,-0.09792151841252174,-0.07169962799876757,0.06466718653646951,0.19623618655629857,0.5222929936305732,,585.0,0.09119060586788465,0.16289023386665222
multi_model_production,1100042,production_eligible,157,0.279210026233336,0.1886892455446428,0.14775740755717257,0.0027128704929303125,-0.06898675750583726,-0.07169962799876757,0.06426194106776503,0.19623618655629857,0.45222929936305734,,592.0,0.07818757883378094,0.14988720683254853
multi_model_production,2100042,production_eligible,157,0.2933061303471869,0.1880426976745579,0.14555618818085098,0.01267316643543065,-0.05902646156333692,-0.07169962799876757,0.05946677033353335,0.19623618655629857,0.535031847133758,,583.0,0.09519420088178442,0.166893828880552
