condition,scenario,search,seed,n,correlation,rmse,bias,prediction_sd,oracle_sd
elastic_net_logistic,known_logistic_structure,not_applicable,120042,200,0.9769673338603085,0.0413728875306499,0.004677405028360931,0.19264088707004043,0.18807373312265038
oracle_nuisances_noiseless_outcome,a,all,1120042,200,0.7630374815786694,0.12528850244171114,-0.01715592786352241,0.11849728472033465,0.18807373312265038
oracle_nuisances_noiseless_outcome,a,all,120042,200,0.7635540436972555,0.12549661648955002,-0.019775891202019665,0.11893004845154952,0.18807373312265038
oracle_nuisances_noiseless_outcome,a,all,2120042,200,0.7638521255848624,0.1257562894746057,-0.019984895686068923,0.11754798672928647,0.18807373312265038
oracle_nuisances_noiseless_outcome,a,sqrt,1120042,200,0.7630422039841148,0.14390236927467306,-0.01847670421077795,0.06874606327256998,0.18807373312265038
oracle_nuisances_noiseless_outcome,a,sqrt,120042,200,0.767756342942095,0.14470010283632015,-0.022827408656067395,0.06761486407747502,0.18807373312265038
oracle_nuisances_noiseless_outcome,a,sqrt,2120042,200,0.7642420059696703,0.14501632170301865,-0.020498436972053738,0.0669403750487584,0.18807373312265038
oracle_nuisances_noiseless_outcome,c,all,1120042,200,0.7657149350498876,0.12351571109056898,-0.016893389589151972,0.12562215218270367,0.18807373312265038
oracle_nuisances_noiseless_outcome,c,all,120042,200,0.7707045078441649,0.12284169934382783,-0.018170371174771875,0.12498721917925953,0.18807373312265038
oracle_nuisances_noiseless_outcome,c,all,2120042,200,0.7704796189959039,0.1231651644435701,-0.019187082786725068,0.12422324457378292,0.18807373312265038
oracle_nuisances_noiseless_outcome,c,sqrt,1120042,200,0.7821846776180345,0.13580956967082172,-0.018998012005473762,0.08113517993169841,0.18807373312265038
oracle_nuisances_noiseless_outcome,c,sqrt,120042,200,0.7890010931670018,0.13462103821403026,-0.02205995170052594,0.08293689714797589,0.18807373312265038
oracle_nuisances_noiseless_outcome,c,sqrt,2120042,200,0.7822393721781302,0.13537639918286848,-0.01955527056919673,0.08218380812367743,0.18807373312265038
oracle_nuisances_observed_outcome,a,all,1120042,200,0.6044452128326782,0.1547604835639326,-0.016439813486190863,0.07858021113909215,0.18807373312265038
oracle_nuisances_observed_outcome,a,all,120042,200,0.5731181987264059,0.15691602936796012,-0.025500357766644843,0.0929898584679774,0.18807373312265038
oracle_nuisances_observed_outcome,a,all,2120042,200,0.6020879735770747,0.1559298924072145,-0.03300668414055577,0.08724531842711032,0.18807373312265038
oracle_nuisances_observed_outcome,a,sqrt,1120042,200,0.6330944950710147,0.158730484403165,-0.018861156872667314,0.058693044736945796,0.18807373312265038
oracle_nuisances_observed_outcome,a,sqrt,120042,200,0.6310383021680207,0.1572143340264773,-0.02835649366738309,0.06743838963450396,0.18807373312265038
oracle_nuisances_observed_outcome,a,sqrt,2120042,200,0.5881077007107872,0.16364488385206716,-0.03422021079021945,0.06089906370155603,0.18807373312265038
oracle_nuisances_observed_outcome,c,all,1120042,200,0.6456049443973703,0.14544625293816038,-0.02004447544634945,0.11027493010698106,0.18807373312265038
oracle_nuisances_observed_outcome,c,all,120042,200,0.6402550766014725,0.14636494655015608,-0.02345776818667292,0.12113135873846013,0.18807373312265038
oracle_nuisances_observed_outcome,c,all,2120042,200,0.6421712300826995,0.14924973051272447,-0.03738561655857122,0.11114227339202071,0.18807373312265038
oracle_nuisances_observed_outcome,c,sqrt,1120042,200,0.7065940015765171,0.1474402379967434,-0.021281868168500327,0.07310716030596166,0.18807373312265038
oracle_nuisances_observed_outcome,c,sqrt,120042,200,0.7328793042877269,0.14358504901603927,-0.028542759108153896,0.07927912661717766,0.18807373312265038
oracle_nuisances_observed_outcome,c,sqrt,2120042,200,0.7118830229914063,0.15200221563043212,-0.03503361398287581,0.06731935399581472,0.18807373312265038
unpenalized_logistic,known_logistic_structure,not_applicable,120042,200,0.9813631431635846,0.04449424839442298,0.005703457972066584,0.2098877679777237,0.18807373312265038
estimated_nuisances_observed_outcome,a,sqrt,120042,200,0.6047894352529728,0.16047112641882494,-0.02683561112622977,0.06278394444824434,0.18807373312265038
estimated_nuisances_observed_outcome,a,sqrt,1120042,200,0.6201177962151578,0.15862690942828472,-0.02315120692214018,0.06317837191879669,0.18807373312265038
estimated_nuisances_observed_outcome,a,sqrt,2120042,200,0.6435763995408559,0.16299164339038227,-0.0404402401715273,0.05615706977376563,0.18807373312265038
estimated_nuisances_observed_outcome,a,all,120042,200,0.6053044766713666,0.15564916562226266,-0.02901130969713316,0.08264492506476441,0.18807373312265038
estimated_nuisances_observed_outcome,a,all,1120042,200,0.621310396989831,0.15409114670702856,-0.021486124252130426,0.07729047324277942,0.18807373312265038
estimated_nuisances_observed_outcome,a,all,2120042,200,0.5999549727835101,0.15896621003611877,-0.03619438390835298,0.07649839767638306,0.18807373312265038
estimated_nuisances_observed_outcome,c,sqrt,120042,200,0.6867800074819828,0.14612404356104478,-0.025491806607776724,0.08428383235722284,0.18807373312265038
estimated_nuisances_observed_outcome,c,sqrt,1120042,200,0.6820800633901551,0.14720944778394898,-0.024924392382977542,0.0820885926442955,0.18807373312265038
estimated_nuisances_observed_outcome,c,sqrt,2120042,200,0.6584571801798145,0.1565894205997091,-0.041176551114693066,0.0710276746848947,0.18807373312265038
estimated_nuisances_observed_outcome,c,all,120042,200,0.623856921098465,0.14921513256797997,-0.02528584406452363,0.11278799170207376,0.18807373312265038
estimated_nuisances_observed_outcome,c,all,1120042,200,0.6401807911340257,0.1475157624739763,-0.025534526572952014,0.10511701978985082,0.18807373312265038
estimated_nuisances_observed_outcome,c,all,2120042,200,0.6101216264372368,0.15482603066102246,-0.04174231503940249,0.109846898951688,0.18807373312265038
