sample_fraction,honesty,seed,correlation,rmse,mae,bias,prediction_sd,r_loss,median_leaves_per_tree,median_effect_patients_per_leaf,median_depth,unsplit_trees
0.1,True,120042,0.5568883964241226,0.17488302475024917,0.13629520133289819,-0.03841383788211977,0.03613311546774658,0.1712250271218018,2.0,16.0,1.0,36
0.1,True,1120042,0.7052555245867705,0.16533346198922513,0.12809475446102225,-0.03370106859335704,0.040873800600782516,0.17058139043169251,2.0,15.0,1.0,37
0.1,True,2120042,0.697597410305518,0.17169623634978806,0.13455811277287566,-0.0416464367198277,0.033287456902917685,0.17059334113883243,2.0,16.0,1.0,43
0.1,False,120042,0.6555017326455558,0.14672586567002213,0.11174415457190934,-0.027961747185765783,0.09933469338310831,0.16835654659985322,5.0,14.0,3.0,0
0.1,False,1120042,0.6484485963057994,0.15117166772842988,0.11505095894243976,-0.022406824285441065,0.07891685975922526,0.16875942660658858,5.0,14.0,3.0,2
0.1,False,2120042,0.6957051773359385,0.14991398743180698,0.11406690521674648,-0.043272540378864605,0.08236624548359876,0.1690051852917349,5.0,13.0,3.0,1
0.45,True,120042,0.6651680877987611,0.1486936057307076,0.11234582362917614,-0.025687335303811017,0.08352671626887044,0.1681518808241632,9.0,17.0,5.0,0
0.45,True,1120042,0.6697035307957205,0.15134231245419175,0.11581276340033404,-0.03732034921273246,0.08118447740871146,0.16834653162304847,9.0,17.0,5.0,0
0.45,True,2120042,0.6677013826981308,0.1505538977110732,0.1145611764109244,-0.034027249581408466,0.0819136142420548,0.16799460737025085,9.0,17.0,5.0,0
0.45,False,120042,0.6696628379000957,0.14409929371964333,0.11501332936465924,-0.025650458904640825,0.1503861960542698,0.16849730172065983,20.0,14.0,8.0,0
0.45,False,1120042,0.6756059074915473,0.14281345105832874,0.11214955047678977,-0.03042037150977317,0.14267602659211717,0.1676361297935022,20.0,14.0,8.0,0
0.45,False,2120042,0.687571299137268,0.1413768530966904,0.11232125425365275,-0.033806244020506825,0.14327691190229824,0.1679354458364157,20.0,14.0,8.0,0
0.95,True,120042,0.6737123348863424,0.14343243036633882,0.10922266817884661,-0.029877249023563545,0.10764723380447369,0.16815561371410034,17.0,17.0,7.0,0
0.95,True,1120042,0.6535953039624556,0.14619133770650816,0.11182016963382044,-0.030141235891445448,0.10871071561238299,0.1681791800715005,18.0,17.0,7.0,0
0.95,True,2120042,0.6715107017016366,0.14559991433655922,0.11206793316426573,-0.03488327516608802,0.10261194075620485,0.16813804757816606,18.0,17.0,7.0,0
0.95,False,120042,0.5958602799918526,0.170534902207671,0.13801929375451805,-0.020318826137600263,0.18859202134627656,0.1693883791065334,42.0,14.0,10.0,0
0.95,False,1120042,0.5915420226293299,0.1740384391977942,0.14169497469071998,-0.021600395795370795,0.1938877531141624,0.17083659810075844,42.0,13.0,11.0,0
0.95,False,2120042,0.5929219220657326,0.17171057925929434,0.13890875424223034,-0.021358886855848757,0.1895627019363399,0.16953639909396628,42.0,14.0,11.0,0
