population,rows,scenario,search,seed,rmse,mae,correlation,bias,mean_cate,sd_cate,oracle_mean,oracle_sd,coverage_95,r_loss,common_oracle_r_loss,propensity_rmse,marginal_outcome_rmse
full_200,200,a,all,1120042,0.15409114670702856,0.12101234132532472,0.621310396989831,-0.021486124252130426,-0.08222547074335028,0.07729047324277942,-0.06073934649121985,0.18807373312265038,0.615,0.1704387178534756,0.17017341575334707,0.0648353257476594,0.07350867308490058
previous_180,180,a,all,1120042,0.1601708314294119,0.12726994431595723,0.6196924801702588,-0.019071407952499717,-0.08185470214376149,0.07795571892573543,-0.06278329419126177,0.1950995831991942,0.5888888888888889,0.17478400304120736,0.17662334629833432,0.06826219410623213,0.07254844942531898
full_200,200,a,all,120042,0.15564916562226266,0.12521955234610999,0.6053044766713666,-0.02901130969713316,-0.089750656188353,0.08264492506476441,-0.06073934649121985,0.18807373312265038,0.64,0.16903203188447213,0.16889381367364503,0.0648353257476594,0.07350867308490058
previous_180,180,a,all,120042,0.16158396417334042,0.1311561589863352,0.6052191552418412,-0.02667875075102298,-0.08946204494228477,0.08235420865369497,-0.06278329419126177,0.1950995831991942,0.6055555555555555,0.17321695524851144,0.17519224645762174,0.06826219410623213,0.07254844942531898
full_200,200,a,all,2120042,0.15896621003611877,0.1263019713694134,0.5999549727835101,-0.03619438390835298,-0.09693373039957283,0.07649839767638306,-0.06073934649121985,0.18807373312265038,0.605,0.16986425995053586,0.1696552637838402,0.0648353257476594,0.07350867308490058
previous_180,180,a,all,2120042,0.16548122718755598,0.1329927809263838,0.593878806659093,-0.033954740825239464,-0.09673803501650124,0.07596462262865154,-0.06278329419126177,0.1950995831991942,0.5777777777777777,0.1741581566349712,0.17605402144684593,0.06826219410623213,0.07254844942531898
full_200,200,a,sqrt,1120042,0.15862690942828472,0.12348629697824368,0.6201177962151578,-0.02315120692214018,-0.08389055341336002,0.06317837191879669,-0.06073934649121985,0.18807373312265038,0.585,0.168884944379231,0.16871815328139583,0.0648353257476594,0.07350867308490058
previous_180,180,a,sqrt,1120042,0.16535483675349757,0.13010204409358894,0.6171621765200834,-0.021950197837767412,-0.08473349202902918,0.06300886705606203,-0.06278329419126177,0.1950995831991942,0.55,0.17306127648039202,0.17501213515070715,0.06826219410623213,0.07254844942531898
full_200,200,a,sqrt,120042,0.16047112641882494,0.1264921061180365,0.6047894352529728,-0.02683561112622977,-0.08757495761744961,0.06278394444824434,-0.06073934649121985,0.18807373312265038,0.64,0.1687321576050394,0.16865392080525501,0.0648353257476594,0.07350867308490058
previous_180,180,a,sqrt,120042,0.16734992767437665,0.133955734189835,0.6015153715188224,-0.02506031133659821,-0.08784360552786,0.061799829448368766,-0.06278329419126177,0.1950995831991942,0.6055555555555555,0.17288251177648406,0.17492517577489683,0.06826219410623213,0.07254844942531898
full_200,200,a,sqrt,2120042,0.16299164339038227,0.1293648872033701,0.6435763995408559,-0.0404402401715273,-0.10117958666274714,0.05615706977376563,-0.06073934649121985,0.18807373312265038,0.58,0.16975661285560684,0.16973939109779848,0.0648353257476594,0.07350867308490058
previous_180,180,a,sqrt,2120042,0.16930046772925922,0.13548793634888578,0.64623326510157,-0.03809094133497748,-0.10087423552623928,0.05505866481012428,-0.06278329419126177,0.1950995831991942,0.5555555555555556,0.17403189151127832,0.17614772803039047,0.06826219410623213,0.07254844942531898
full_200,200,b,all,1120042,0.15354817639158877,0.1206978120282106,0.620446792092596,-0.019054794093526884,-0.07979414058474671,0.07849649039412715,-0.06073934649121985,0.18807373312265038,0.635,0.17018134346664618,0.16976765599412233,0.06562980748694656,0.07348807337298195
previous_180,180,b,all,1120042,0.1598617378865969,0.1273011845313262,0.6174856977414199,-0.016688058407163156,-0.07947135259842493,0.07891705497815518,-0.06278329419126177,0.1950995831991942,0.6055555555555555,0.1745201694851373,0.1761640173780853,0.06910417643742132,0.07251715710247324
full_200,200,b,all,120042,0.1553909650249735,0.12482850167778677,0.5969005805181711,-0.026749681805609753,-0.0874890282968296,0.08653814960022653,-0.06073934649121985,0.18807373312265038,0.615,0.16963406072820267,0.16928211994893652,0.06562980748694656,0.07348807337298195
previous_180,180,b,all,120042,0.16110882646377747,0.1305068401885855,0.5975637571225956,-0.023833581043691036,-0.08661687523495282,0.08631731829877927,-0.06278329419126177,0.1950995831991942,0.5833333333333334,0.1739238649707659,0.17563279049426403,0.06910417643742132,0.07251715710247324
full_200,200,b,all,2120042,0.1590187260437728,0.12640713944607962,0.5968561736875586,-0.03655186778597895,-0.0972912142771988,0.0779030620224852,-0.06073934649121985,0.18807373312265038,0.605,0.16960407629657376,0.16918975993376725,0.06562980748694656,0.07348807337298195
previous_180,180,b,all,2120042,0.16552603223246948,0.1333436061886738,0.5915707797215422,-0.03458565725581291,-0.09736895144707468,0.07721150090736836,-0.06278329419126177,0.1950995831991942,0.5777777777777777,0.17389457960072383,0.1755335479624429,0.06910417643742132,0.07251715710247324
full_200,200,b,sqrt,1120042,0.15747622194502406,0.1227103645401504,0.628848982388115,-0.02156512682135424,-0.0823044733125741,0.06395824728775502,-0.06073934649121985,0.18807373312265038,0.59,0.1689000136593466,0.16855732037371263,0.06562980748694656,0.07348807337298195
previous_180,180,b,sqrt,1120042,0.16421588396946715,0.12950171527955634,0.6263753612913997,-0.020340610618089557,-0.08312390480935132,0.0636951407934694,-0.06278329419126177,0.1950995831991942,0.5666666666666667,0.17310332601206307,0.1748310090457295,0.06910417643742132,0.07251715710247324
full_200,200,b,sqrt,120042,0.1599026401045857,0.12502151661865527,0.6122966260445056,-0.02571174211257584,-0.08645108860379569,0.06226886088868773,-0.06073934649121985,0.18807373312265038,0.62,0.16889944829575199,0.1686231593773803,0.06562980748694656,0.07348807337298195
previous_180,180,b,sqrt,120042,0.16704567766303416,0.13295635819624094,0.6084032470163653,-0.024283440590629528,-0.08706673478189132,0.06090449366513999,-0.06278329419126177,0.1950995831991942,0.5833333333333334,0.17308863175403008,0.17488255284975734,0.06910417643742132,0.07251715710247324
full_200,200,b,sqrt,2120042,0.1634813053833025,0.12970042639550983,0.635847599139831,-0.03943803899945169,-0.10017738549067154,0.05555564519956687,-0.06073934649121985,0.18807373312265038,0.595,0.16991115320557357,0.1696453739122853,0.06562980748694656,0.07348807337298195
previous_180,180,b,sqrt,2120042,0.16982776848985753,0.13583064438988898,0.6356243780937301,-0.03678988869851123,-0.099573182889773,0.05470910980662408,-0.06278329419126177,0.1950995831991942,0.5666666666666667,0.17423654824005877,0.17604852631740708,0.06910417643742132,0.07251715710247324
full_200,200,c,all,1120042,0.1475157624739763,0.11375996339655525,0.6401807911340257,-0.025534526572952014,-0.08627387306417185,0.10511701978985082,-0.06073934649121985,0.18807373312265038,0.705,0.16848109945650827,0.16839187221523788,0.06483532574765936,0.07350867308490058
previous_180,180,c,all,1120042,0.15380382738665221,0.1205673600915868,0.6384564676893038,-0.026215768280586013,-0.0889990624718478,0.10406033576691208,-0.06278329419126177,0.1950995831991942,0.6833333333333333,0.17261364690545428,0.17464069064579804,0.0682621941062321,0.07254844942531896
full_200,200,c,all,120042,0.14921513256797997,0.11617672281898407,0.623856921098465,-0.02528584406452363,-0.08602519055574348,0.11278799170207376,-0.06073934649121985,0.18807373312265038,0.72,0.16906992160971637,0.16902092481064193,0.06483532574765936,0.07350867308490058
previous_180,180,c,all,120042,0.15550236281859653,0.12286675597030021,0.6198735124450371,-0.025400423385582405,-0.08818371757684419,0.11105124590565467,-0.06278329419126177,0.1950995831991942,0.6944444444444444,0.17327077194290105,0.17533789982906411,0.0682621941062321,0.07254844942531896
full_200,200,c,all,2120042,0.15482603066102246,0.1216751628879843,0.6101216264372368,-0.04174231503940249,-0.10248166153062233,0.109846898951688,-0.06073934649121985,0.18807373312265038,0.695,0.16935602641478545,0.16923126971450964,0.06483532574765936,0.07350867308490058
previous_180,180,c,all,2120042,0.1612537665184415,0.12806363449820551,0.6038377352386898,-0.04150460728560439,-0.1042879014768662,0.10805462704595037,-0.06278329419126177,0.1950995831991942,0.6666666666666666,0.1735777815375927,0.1755590391675372,0.0682621941062321,0.07254844942531896
full_200,200,c,sqrt,1120042,0.14720944778394898,0.11129560388490983,0.6820800633901551,-0.024924392382977542,-0.08566373887419738,0.0820885926442955,-0.06073934649121985,0.18807373312265038,0.68,0.16803327185131536,0.16806022070094623,0.06483532574765936,0.07350867308490058
previous_180,180,c,sqrt,1120042,0.15385352171871436,0.11838122917429507,0.6831977141805576,-0.024930991935868927,-0.0877142861271307,0.08083063051526433,-0.06278329419126177,0.1950995831991942,0.65,0.17211994859084742,0.1742787601583845,0.0682621941062321,0.07254844942531896
full_200,200,c,sqrt,120042,0.14612404356104478,0.11069433452345794,0.6867800074819828,-0.025491806607776724,-0.08623115309899657,0.08428383235722284,-0.06073934649121985,0.18807373312265038,0.705,0.16808390333625275,0.16817985202243663,0.06483532574765936,0.07350867308490058
previous_180,180,c,sqrt,120042,0.1530170098102396,0.11832038915073391,0.6867007596550315,-0.025895556642964834,-0.08867885083422661,0.08270040600550643,-0.06278329419126177,0.1950995831991942,0.6722222222222223,0.17217892586294678,0.17441380910829143,0.0682621941062321,0.07254844942531896
full_200,200,c,sqrt,2120042,0.1565894205997091,0.1208093996068417,0.6584571801798145,-0.041176551114693066,-0.10191589760591292,0.0710276746848947,-0.06073934649121985,0.18807373312265038,0.605,0.1692312585738965,0.16922674374776706,0.06483532574765936,0.07350867308490058
previous_180,180,c,sqrt,2120042,0.1636570181883943,0.1281161563715046,0.6567226937053973,-0.0407789466392786,-0.10356224083054037,0.06919242352187775,-0.06278329419126177,0.1950995831991942,0.5611111111111111,0.17345479125963495,0.1755782663738703,0.0682621941062321,0.07254844942531896
