cohort,training_rows,scenario,seed,correlation,rmse,mae,bias,prediction_sd,coverage_95_of_individual_truth,r_loss,oracle_r_loss,propensity_rmse,outcome_nuisance_rmse,median_leaves_per_tree,median_effect_patients_per_leaf
new,800,all,1120042,0.6182921873227233,0.17367970888629738,0.14156074464235485,-0.08542802520876311,0.06228852663279652,0.4786,0.17106235039697762,0.165671329116195,0.049733782576840774,0.07814700433594275,11.0,15.0
new,800,all,120042,0.5942151409924795,0.18621253881774955,0.1533806959454987,-0.10335788964065658,0.0563122422913867,0.4535,0.17171860645701412,0.16630976573153664,0.049733782576840774,0.07814700433594275,11.0,15.0
new,800,all,2120042,0.6362790722438055,0.1857697107384413,0.1529919454465812,-0.10748684752103073,0.05780886961845542,0.4416,0.17150565497201636,0.1661119267315944,0.049733782576840774,0.07814700433594275,11.0,15.0
new,800,modifiers,1120042,0.6747712315627196,0.16429989065745354,0.13458129787983597,-0.08826666395386695,0.08726836389691082,0.46445,0.1703800878394454,0.16507590164552927,0.049733782576840774,0.07814700433594275,9.0,17.0
new,800,modifiers,120042,0.6660750475465786,0.17449748988038763,0.14482348022431574,-0.10568757481295092,0.09037385317389143,0.4676,0.1707889673704527,0.1654545317978898,0.049733782576840774,0.07814700433594275,8.0,17.0
new,800,modifiers,2120042,0.6552453155096156,0.17965013160065404,0.14905439363424253,-0.11197016103914369,0.08864525806162875,0.46325,0.17100146943067118,0.1656819590203112,0.049733782576840774,0.07814700433594275,9.0,17.0
new,8000,all,1120042,0.8047625587180669,0.11683302631395834,0.08894442344370843,-0.019025464586793408,0.1052737317821706,0.7317,0.16589621963830356,0.16318986444040975,0.019926651132345933,0.0562504698898738,106.0,15.0
new,8000,all,120042,0.7926477655199681,0.11805413294077799,0.09033913908188954,-0.019133747543180424,0.10768311091178714,0.723,0.16589630627416846,0.16320084012544667,0.019926651132345933,0.0562504698898738,106.0,15.0
new,8000,all,2120042,0.803116166009391,0.11671287941153523,0.08923960536580783,-0.019666030622540315,0.10672712752182165,0.72755,0.1659194835511699,0.16322248604834663,0.019926651132345933,0.0562504698898738,107.0,15.0
new,8000,modifiers,1120042,0.8011884031187205,0.11046530432845478,0.08621490765383746,-0.019644574501805172,0.14847738967580854,0.7579,0.16530138235769778,0.16257849257554677,0.019926651132345933,0.0562504698898738,86.0,16.0
new,8000,modifiers,120042,0.7971093254957334,0.11136002266859144,0.08711711935091848,-0.019042393369502888,0.1487126799617647,0.7394,0.16531481766943626,0.16259904980315912,0.019926651132345933,0.0562504698898738,86.0,16.0
new,8000,modifiers,2120042,0.8013958412757158,0.11049227279153596,0.08658046096019502,-0.02017630750978363,0.14769093441374428,0.7536,0.16529170126887258,0.16258402125925636,0.019926651132345933,0.0562504698898738,86.0,16.0
new,80000,all,1120042,0.8847074985576826,0.08690952727346847,0.0660463242874191,-0.00956718687077124,0.14342166744328808,0.8076,0.16450094632244905,0.16209969974124788,0.011508487908423523,0.0539337816734568,1005.0,15.0
new,80000,all,120042,0.8860076698898268,0.08695838832103596,0.06614443396577199,-0.00994823580385668,0.141552578388081,0.81025,0.16453173143445834,0.16212798460656613,0.011508487908423523,0.0539337816734568,1004.0,15.0
new,80000,all,2120042,0.8839320451073575,0.0866922850086628,0.0661089823769211,-0.008322271201930655,0.14514196084662706,0.8138,0.16447635255337015,0.16207021618082917,0.011508487908423523,0.0539337816734568,1004.0,15.0
new,80000,modifiers,1120042,0.8260370378767827,0.107042439582645,0.08246946171407087,-0.010912486436429319,0.17939997991412296,0.7785,0.16474915960822686,0.16234328979404344,0.011508487908423523,0.0539337816734568,1041.0,15.0
new,80000,modifiers,120042,0.8281185579201775,0.10644654374403666,0.08246210361991141,-0.011876928516641433,0.17916511501123822,0.77975,0.16477049844799554,0.16236924640285944,0.011508487908423523,0.0539337816734568,1036.5,15.0
new,80000,modifiers,2120042,0.8268672995597778,0.10630137906500899,0.08238102273791477,-0.010021974457907862,0.17790255573064068,0.7817,0.16478888149020068,0.16237757832904762,0.011508487908423523,0.0539337816734568,1048.5,15.0
original,800,all,1120042,0.635202782217594,0.15113363443764716,0.11479660806713123,-0.01474583970250506,0.060987146660706426,0.63655,0.16962096520123332,0.1650424623113679,0.06931116328973691,0.07269897850697128,11.0,15.0
original,800,all,120042,0.5965393954559723,0.15490812564535425,0.11870355472184804,-0.020284307292815613,0.059892925303082795,0.65715,0.1697470585386081,0.1651388749039927,0.06931116328973691,0.07269897850697128,11.0,15.0
original,800,all,2120042,0.6293366932474637,0.15737330050058507,0.12163692334628463,-0.035543378153865976,0.05436918625322606,0.6234,0.16977236850693636,0.16519561312051934,0.06931116328973691,0.07269897850697128,11.0,15.0
original,800,modifiers,1120042,0.7250198739153104,0.13536961622852972,0.10130810697530328,-0.0147256807721305,0.08198228408462277,0.67835,0.1688296748770063,0.1642914161312292,0.06931116328973687,0.07269897850697128,9.0,17.0
original,800,modifiers,120042,0.719282317574037,0.13486078972498444,0.10151268915445169,-0.017157859735868614,0.08612636896179084,0.7359,0.16871942795636458,0.16415785404786676,0.06931116328973687,0.07269897850697128,9.0,17.0
original,800,modifiers,2120042,0.6966973120037265,0.14486508024826852,0.11021262849139514,-0.030740498960800812,0.07108198599854397,0.6174,0.16908054635311728,0.16454444895625628,0.06931116328973687,0.07269897850697128,9.0,17.0
