cohort,training_rows,test_set,test_rows,scenario,seed,correlation,rmse,mae,bias,prediction_sd,coverage_95_of_individual_truth,r_loss,oracle_r_loss,propensity_rmse,outcome_nuisance_rmse,median_leaves_per_tree,median_effect_patients_per_leaf
extended,800000,full_200k,200000,all,1120042,0.9271810817906059,0.06861035449024164,0.05197170777425528,-0.006750174057928392,0.1596626022616987,0.865745,0.16411045821769318,0.1611856397011762,0.009566261976649906,0.05346616213505513,9064.5,15.0
extended,800000,common_20k,20000,all,1120042,0.9282155201344757,0.06839822711963862,0.051897058787737795,-0.006797186623989483,0.1603013605759942,0.86555,0.16405632734971454,0.16161850270482822,0.009603977160103189,0.05363621690179825,9064.5,15.0
extended,800000,full_200k,200000,all,120042,0.9266507469812397,0.06875087543268674,0.052136440544503296,-0.006881682872926418,0.1605271874513225,0.864135,0.16409925999928923,0.1611738685843829,0.009566261976649906,0.05346616213505513,9059.0,15.0
extended,800000,common_20k,20000,all,120042,0.9267879835359836,0.0689408845374093,0.0522264499237893,-0.006954042296115266,0.16100404578644514,0.86435,0.16411419033167618,0.16168356079776933,0.009603977160103189,0.05363621690179825,9059.0,15.0
extended,800000,full_200k,200000,all,2120042,0.927095378895153,0.06857190376067696,0.05190324207479269,-0.006506404951003219,0.16010602387993292,0.86628,0.16411089536338258,0.1611867230252483,0.009566261976649906,0.05346616213505513,9107.0,15.0
extended,800000,common_20k,20000,all,2120042,0.9282424099817623,0.06834731315214636,0.05166669573935876,-0.006454078726695766,0.16035302105634344,0.8658,0.1640969134012892,0.16166428972137653,0.009603977160103189,0.05363621690179825,9107.0,15.0
extended,800000,full_200k,200000,modifiers,1120042,0.834330978313201,0.10439325170054779,0.08048136663465548,-0.008309203898978455,0.18059725666858453,0.79106,0.16478315241004712,0.16186174215240592,0.009566261976649906,0.05346616213505513,11349.5,14.0
extended,800000,common_20k,20000,modifiers,1120042,0.8356686673523213,0.10425941343691154,0.08041776146176662,-0.007296935945424401,0.1812426213628465,0.79375,0.16453132313577237,0.16210242795606022,0.009603977160103189,0.05363621690179825,11349.5,14.0
extended,800000,full_200k,200000,modifiers,120042,0.8341277785525221,0.10514468438098891,0.08087396143148526,-0.008531360720046548,0.18287779880490226,0.79162,0.16477077676466623,0.16184954342184305,0.009566261976649906,0.05346616213505513,11248.0,14.0
extended,800000,common_20k,20000,modifiers,120042,0.8358406518077777,0.10483904624205442,0.080686987355,-0.007561728275827059,0.18334928582949342,0.79145,0.16458146524269332,0.16214691932724726,0.009603977160103189,0.05363621690179825,11248.0,14.0
extended,800000,full_200k,200000,modifiers,2120042,0.8352811723317387,0.10399929977099616,0.08007709642010716,-0.008294984656863267,0.180259856621862,0.789925,0.16476831782954246,0.1618465478625243,0.009566261976649906,0.05346616213505513,11225.0,14.0
extended,800000,common_20k,20000,modifiers,2120042,0.8363017123250162,0.10393765537934206,0.08019660649321696,-0.007088058924758824,0.18086037819236717,0.7871,0.16449702651998838,0.16207005245359124,0.009603977160103189,0.05363621690179825,11225.0,14.0
