cohort,training_rows,test_set,test_rows,scenario,correlation,rmse,mae,bias,prediction_sd,coverage_95_of_individual_truth,r_loss,oracle_r_loss,propensity_rmse,outcome_nuisance_rmse,median_leaves_per_tree,median_effect_patients_per_leaf
extended,800000,common_20k,20000,all,0.9277486378840738,0.06856214160306477,0.05193006815029529,-0.006735102548933505,0.16055280913959427,0.8652333333333333,0.16408914369422664,0.16165545107465804,0.009603977160103189,0.05363621690179824,9076.833333333334,15.0
extended,800000,common_20k,20000,modifiers,0.8359370104950384,0.10434537168610268,0.08043378510332787,-0.007315574382003428,0.181817428461569,0.7907666666666667,0.16453660496615136,0.16210646657896624,0.009603977160103189,0.05363621690179824,11274.166666666666,14.0
extended,800000,full_200k,200000,all,0.9269757358889995,0.0686443778945351,0.05200379679785042,-0.006712753960619343,0.1600986045309847,0.8653866666666667,0.164106871193455,0.16118207710360247,0.009566261976649906,0.05346616213505514,9076.833333333334,15.0
extended,800000,full_200k,200000,modifiers,0.8345799763991538,0.10451241195084428,0.0804774748287493,-0.00837851642529609,0.18124497069844958,0.7908683333333334,0.16477408233475194,0.1618526111455911,0.009566261976649906,0.05346616213505514,11274.166666666666,14.0
previous,800,common_20k,20000,all,0.6162621335196694,0.1818873194808294,0.14931112867814492,-0.0987575874568168,0.058803212847546214,0.4579,0.17142887060866938,0.16603100719310868,0.049733782576840774,0.07814700433594275,11.0,15.0
previous,800,common_20k,20000,modifiers,0.6653638648729713,0.17281583737949843,0.14281972391279807,-0.1019747999353205,0.08876249171081034,0.4651,0.17072350821352308,0.16540413082124342,0.049733782576840774,0.07814700433594275,8.666666666666666,17.0
previous,8000,common_20k,20000,all,0.800175496749142,0.11720001288875719,0.08950772263046859,-0.019275080917504715,0.1065613234052598,0.7274166666666666,0.1659040031545473,0.163204396871401,0.019926651132345933,0.05625046988987379,106.33333333333333,15.0
previous,8000,common_20k,20000,modifiers,0.7998978566300566,0.11077253326286073,0.08663749598831699,-0.01962109179369723,0.14829366801710583,0.7503000000000001,0.16530263376533552,0.16258718787932075,0.019926651132345933,0.05625046988987379,86.0,16.0
previous,80000,common_20k,20000,all,0.8848824045182889,0.08685340020105574,0.06609991354337073,-0.009279231292186193,0.14337206889266538,0.81055,0.16450301010342586,0.1620993001762144,0.011508487908423523,0.0539337816734568,1004.3333333333334,15.0
previous,80000,common_20k,20000,modifiers,0.8270076317855793,0.10659678746389689,0.08243752935729902,-0.010937129803659539,0.1788225502186673,0.7799833333333334,0.16476951318214103,0.16236337150865018,0.011508487908423523,0.0539337816734568,1042.0,15.0
