snapshot_utc,feature_id,name,retained_confounder,fold_001,fold_002,fold_003,fold_004,fold_005,top_8_folds,top_16_folds,top_32_folds,top_64_folds
2026-09-22T16:11:23.286833+00:00,outer_001_feature_228,neutrophil_to_lymphocyte_ratio,True,3,2,9,3,1,4,5,5,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_349,white_blood_cell_count,True,1,4,7,37,3,4,4,4,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_076,ck5_6_expression,False,4,3,6,51,14,3,4,4,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_176,ki67_proliferation_index,False,14,5,15,49,10,1,4,4,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_330,ttf1_expression,False,26,10,2,27,2,2,3,5,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_214,met_amplification_status,False,13,21,8,10,42,1,3,4,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_103,dizziness_present,False,64,16,16,4,outside_top_64,1,3,3,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_037,blood_urea_nitrogen,True,9,outside_top_64,outside_top_64,9,13,0,3,3,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_113,emphysema,False,8,32,outside_top_64,18,5,2,2,4,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_001,absolute_lymphocyte_count,True,20,62,outside_top_64,1,7,2,2,3,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_267,prior_platinum_chemotherapy,True,29,6,41,8,46,2,2,3,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_205,medication_denosumab,False,2,49,10,outside_top_64,outside_top_64,1,2,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_022,anxiety_present,False,30,outside_top_64,12,outside_top_64,15,0,2,3,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_340,ventricular_hemorrhage,True,outside_top_64,15,14,41,17,0,2,3,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_303,skeletal_compression_fracture,False,11,outside_top_64,outside_top_64,13,44,0,2,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_315,targeted_therapy_use,False,47,outside_top_64,outside_top_64,15,12,0,2,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_049,brain_lesion_count,True,outside_top_64,18,outside_top_64,5,outside_top_64,1,1,2,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_095,creatinine_clearance,True,43,7,outside_top_64,outside_top_64,21,1,1,2,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_108,dyspnea_severity,True,41,23,5,33,38,1,1,2,5
2026-09-22T16:11:23.286833+00:00,outer_001_feature_122,epidural_hemorrhage,False,outside_top_64,outside_top_64,1,26,outside_top_64,1,1,2,2
