method,seed,cohort,n,correlation,rmse,mae,bias,estimated_mean,true_mean,estimated_sd,true_sd,coverage_95,interval_rows,ate_aipw,ate_aipw_se,ate_aipw_lower_95,ate_aipw_upper_95,ate_aipw_bias,fit_n,confounders,modifiers,model_family
previous_16_forest,100042,native_eligible,170,0.3609361675497539,0.18455413495586287,0.14288105478317883,-0.01078924149705033,-0.0770089967745037,-0.06621975527745337,0.05990225920983662,0.19718570412679387,0.5529411764705883,170,0.04714131953122528,0.06991337762300201,-0.08988890060985866,0.1841715396723092,0.11336107480867866,645.0,189.0,16.0,causal_forest_dml
overlap_architecture_selected,100042,native_eligible,170,0.5032032993708585,0.18247569265245367,0.1393315132717613,0.05791226975337295,-0.00830748552408042,-0.06621975527745337,0.06911060816363832,0.19718570412679387,,0,0.05224434726219971,0.06979072168194572,-0.08454546723441392,0.18903416175881332,0.11846410253965309,645.0,189.0,64.0,penalized_logistic_interactions
previous_16_forest,100042,common_eligible,170,0.3609361675497539,0.18455413495586287,0.14288105478317883,-0.01078924149705033,-0.0770089967745037,-0.06621975527745337,0.05990225920983662,0.19718570412679387,0.5529411764705883,170,0.04714131953122528,0.06991337762300201,-0.08988890060985866,0.1841715396723092,0.11336107480867866,,,,
overlap_architecture_selected,100042,common_eligible,170,0.5032032993708585,0.18247569265245367,0.1393315132717613,0.05791226975337295,-0.00830748552408042,-0.06621975527745337,0.06911060816363832,0.19718570412679387,,0,0.05224434726219971,0.06979072168194572,-0.08454546723441392,0.18903416175881332,0.11846410253965309,,,,
previous_16_forest,1100042,native_eligible,170,0.3711322397997127,0.18347032191456397,0.14128659321181228,0.010269740172529246,-0.05595001510492413,-0.06621975527745337,0.06776989495041763,0.19718570412679387,0.5352941176470588,170,0.05973407802982637,0.07104060778195481,-0.07950551322280508,0.1989736692824578,0.12595383330727974,686.0,189.0,16.0,causal_forest_dml
overlap_architecture_selected,1100042,native_eligible,170,0.5301526565670985,0.18316185860822468,0.13999306830084587,0.05963130884192883,-0.006588446435524537,-0.06621975527745337,0.05938905393393393,0.19718570412679387,,0,0.07220375162352946,0.07201057762372838,-0.06893698051897817,0.2133444837660371,0.13842350690098282,686.0,189.0,64.0,penalized_logistic_interactions
previous_16_forest,1100042,common_eligible,170,0.3711322397997127,0.18347032191456397,0.14128659321181228,0.010269740172529246,-0.05595001510492413,-0.06621975527745337,0.06776989495041763,0.19718570412679387,0.5352941176470588,170,0.05973407802982637,0.07104060778195481,-0.07950551322280508,0.1989736692824578,0.12595383330727974,,,,
overlap_architecture_selected,1100042,common_eligible,170,0.5301526565670985,0.18316185860822468,0.13999306830084587,0.05963130884192883,-0.006588446435524537,-0.06621975527745337,0.05938905393393393,0.19718570412679387,,0,0.07220375162352946,0.07201057762372838,-0.06893698051897817,0.2133444837660371,0.13842350690098282,,,,
previous_16_forest,2100042,native_eligible,170,0.46476353903349166,0.17868841688780654,0.13775671398763306,-0.0037032903718966946,-0.06992304564935006,-0.06621975527745337,0.053797799713941025,0.19718570412679387,0.5647058823529412,170,0.04712989072058556,0.06992060196881823,-0.08991448913829818,0.18417427057946928,0.11334964599803893,661.0,189.0,16.0,causal_forest_dml
overlap_architecture_selected,2100042,native_eligible,170,0.5028563926604461,0.18268483712128783,0.13943737019505595,0.057219441682446553,-0.009000313595006824,-0.06621975527745337,0.06676143414089383,0.19718570412679387,,0,0.05220880599934482,0.06979270109046667,-0.08458488813796985,0.1890025001366595,0.11842856127679818,661.0,189.0,64.0,penalized_logistic_interactions
previous_16_forest,2100042,common_eligible,170,0.46476353903349166,0.17868841688780654,0.13775671398763306,-0.0037032903718966946,-0.06992304564935006,-0.06621975527745337,0.053797799713941025,0.19718570412679387,0.5647058823529412,170,0.04712989072058556,0.06992060196881823,-0.08991448913829818,0.18417427057946928,0.11334964599803893,,,,
overlap_architecture_selected,2100042,common_eligible,170,0.5028563926604461,0.18268483712128783,0.13943737019505595,0.057219441682446553,-0.009000313595006824,-0.06621975527745337,0.06676143414089383,0.19718570412679387,,0,0.05220880599934482,0.06979270109046667,-0.08458488813796985,0.1890025001366595,0.11842856127679818,,,,
