packet_id,all_evidence_from_inner_training,at,candidates,condition,excerpts,inner_fold,input_sha256,packet_sha256,prompt_chars,query,response_sha256,summary
inner_001_query_000_original,True,2026-09-22T14:53:47.171984+00:00,2,original,24,1,8584f4a1fb787c8174e4cae6c02fd3e818d989fc2b76085dcb6a758a3226f664,78ca6fd15ec3ed0da4ac307fb9f04ec97021e71dd01c5add34b510f0b82cab5d,51700,0,d9d473b9ef3dc7ed08096cd87ccf29f45c9d9144a34020d9a4570ea8048182cc,"The evidence identifies baseline genomic alterations and immunohistochemical markers in patients with lung adenocarcinoma, specifically highlighting the presence of STK11 loss and PD-L1 expression levels as factors that may influence the tumor microenvironment and therapeutic response."
inner_001_query_000_random,True,2026-09-22T14:54:58.978963+00:00,2,random,14,1,e1110b2d6be1c54edf5c3043438741dcccc5c52ae9b9c1e1391529a4ec3b14ad,9b866ac16f576228f6a2018e0e86912cf95814adc02be17b704eba0c8b62a121,27360,0,c2392571afd9966bf9ec4bdd992dcb7a09aa2473b48ff89d820e1c66f9713dc7,"The evidence identifies baseline clinical variables used in the assessment of non-small cell lung cancer (NSCLC) patients, specifically focusing on tumor proliferative markers and functional status."
inner_001_query_000_targeted,True,2026-09-22T14:52:58.459701+00:00,2,targeted,14,1,a7a2ce36a9d33655d945fa5b911827663b730469276de9766fa4f337d18037ed,34f77c0bc2a70c3d0e3d17787a3ac74d505b58c56e85e0bb0c3498efd998fcc7,29288,0,25128ae6ba1275571baa3f36df7071be8738e99c35e5c66bbb628ac9fee20586,"The evidence identifies distinct baseline histopathological and proliferative characteristics in patients with non-small cell lung cancer (NSCLC), specifically distinguishing between squamous cell carcinoma and adenocarcinoma via immunohistochemistry (IHC) and quantifying tumor proliferation via the Ki-67 labeling index."
inner_001_query_001_original,True,2026-09-22T14:53:58.089617+00:00,2,original,24,1,1382b2c2a5c336eae2b766ca964265e5b08e98a858fec08c16172ac888af73b6,3db47da0d7c5d68c48867baa1c1b772ce0d235df313f9ff06229cf74f76df5eb,52057,1,b12e3dfed203496ea7fde1353341fd851cee65d36fb279e3ad7e7b8d98fe68ed,The provided evidence supports the identification of primary tumor size and histological subtype as measurable baseline clinical variables in patients with stage IV non-small cell lung cancer (NSCLC).
inner_001_query_001_random,True,2026-09-22T14:57:23.270136+00:00,2,random,17,1,b9aceb7b2d5cb9b7fe1beb7ffaac671629c87ad9eca5636658b43e73162c353a,49112c0424a3e63d2e7559592232ff2e6a42f962ec8738a657cac65ab16d22b6,37087,1,53f9956f777a64e39b577c912529bffb9f8bf8de73b5847747f91c29e097c0bf,"The provided evidence supports the identification of baseline patient characteristics in non-small cell lung cancer (NSCLC) cases, specifically regarding functional status (ECOG performance status) and the presence of intracranial metastatic disease."
inner_001_query_001_targeted,True,2026-09-22T14:56:17.976373+00:00,2,targeted,15,1,9a3c52fcc730a90cd8dad5480a8efaa51215a79f69de73e180d5218dd8426aab,50548e64043ea0388694f34e4fd709b79cdf05dc97b6f66250cf2e6ab39be38a,29867,1,1c95b80f8e16161fe54751a6409aca378254979ff7ccdb10423c43d2234142aa,"The evidence identifies distinct clinical characteristics across the patient cohort, specifically focusing on genomic drivers (KRAS G12C mutation status) and the histological classification of the primary lung cancer (Adenocarcinoma vs. Squamous Cell Carcinoma)."
inner_001_query_002_original,True,2026-09-22T14:54:43.797708+00:00,2,original,24,1,36c95453c19c4f96dd1ff13b21959230b4c7d3056d7efffad49fa3389423d513,7a62cf0e9115cd35f5ef21f4ae3cd10d95f06785ee95f24f1b9c1917cf962a84,50558,2,d53971a2585ef8e4b70855c265d677ca9f50aa64d6b106a2bfea3d45d1cb3055,"The evidence identifies key imaging features in patients with recurrent or progressive non-small cell lung cancer (NSCLC), specifically highlighting the metabolic activity of pulmonary nodules and the presence of skeletal metastases as primary clinical distinctions."
inner_001_query_002_random,True,2026-09-22T14:57:11.751988+00:00,2,random,14,1,02253b7751e72d203bb8897d0205f1f15060c915d9d97fc8d3f23d719a25ba57,269f07cb58538f78736fc2dc30076da99b4664fdc2321fb5298d536828402666,30437,2,4bc088d2c9f8328f44385b2ffffb358484116fa017c9de6f9833d9bea7f9e5a3,"The evidence provides measurable baseline clinical variables for patients with non-small cell lung cancer (NSCLC), specifically focusing on pulmonary tumor dimensions and baseline hematologic markers."
inner_001_query_002_targeted,True,2026-09-22T14:56:49.058282+00:00,2,targeted,13,1,b0dde394953dc9355f8d37aef4463d163bb0e162ea5ff9d88c2d7d9d836a635f,971cedcd3120cac3ccb938a70349b4529c45a0d056951b16a573048da2e908bb,25808,2,10ae92ec7c5ceea1222215225b16cf717aaa0f16c367446e857125e9302be788,"The provided evidence identifies several baseline clinical variables associated with stage IV non-small cell lung cancer (NSCLC), including functional status (ECOG), biomarker expression (PD-L1), and primary tumor dimensions."
inner_001_query_003_original,True,2026-09-22T14:56:56.364700+00:00,2,original,24,1,7b7761f912934ae3c94d1b3704c7cfcb36d7ecaa89d1b1502a54e87dec93831c,9559db8fad71fbe4d6c81121819cdbd169e54035207b44b9ec8ab456f75fee36,51545,3,6681fdb055fdf0cb0c5d67308450f1d6373b85f199d33b87112e3619cfd979c8,"The evidence identifies several measurable baseline clinical variables used to characterize patients with non-small cell lung cancer (NSCLC), including functional status (ECOG) and molecular markers (EGFR status)."
inner_001_query_003_random,True,2026-09-22T14:58:11.028800+00:00,2,random,14,1,072dc25854194c91a9614007ff86f47c8cb16567a22d39e973aa7659a478acf3,8512799079d99b0b5261b7ce308ef517b164574c92668442725f62830cd24fbd,27830,3,1f984f71242916330256c596cc4890fd1d759e015102f3485855675bf2b296bb,"The evidence identifies baseline clinical variables related to non-small cell lung cancer (NSCLC) pathology, specifically histological subtypes (adenocarcinoma vs. squamous cell carcinoma) and molecular characteristics such as Tumor Mutational Burden (TMB)."
inner_001_query_003_targeted,True,2026-09-22T15:00:42.782865+00:00,2,targeted,13,1,4ba1f8bfc0484abf230dcdb52112762d207adf600d9b7a77e479706147cf3a3c,240b65650c68578bf4daefa92d7827c6ea306caebd6025e1b23a82f9fa7b337b,25364,3,d7ad4d23826a23b0558b7ab98121be41a35988e7be84501fa8c6de05a65a9af6,The evidence identifies performance status and renal function as baseline clinical variables used in the assessment of patients with non-small cell lung cancer (NSCLC) prior to systemic therapy.
inner_001_query_004_original,True,2026-09-22T14:57:25.076163+00:00,0,original,18,1,20cbf7196957e9e662555ae0f702a301dbcd9e7e7e3a7a0ebafa18770217c46c,29533df5ce3619e10837c9797b8b105eb29c6083bea8fd05e8400fd6c06023ef,22794,4,124894083a249bae06df746da1e22a7e3adef2bbb64020271440d0055fbfc179,"The provided retrieval evidence contains no usable clinical text, consisting entirely of empty strings or non-textual characters. Consequently, no baseline clinical variables could be identified."
inner_001_query_004_random,True,2026-09-22T14:59:16.432180+00:00,2,random,18,1,771cddae8609ef884ebc13ec71dcad88a6cef78b934a7754da191d6a6fd97c72,8b0518aa29e4b5f3b404c993749cc34c9334362812381eb6fb968c56c59669dd,37276,4,9366059722c9eaa67cc914a93ad3adb7cd660be30d72e814add52a9a1f6d0f24,"The provided evidence suggests that genomic alterations, specifically CDKN2A homozygous deletion, and baseline functional status, measured by the ECOG performance scale, are consistent clinical features across the patient cohort."
inner_001_query_004_targeted,True,2026-09-22T14:59:53.690129+00:00,2,targeted,15,1,16bdfdc071e9710db985d9554b2e8a6cdbc317108423eb2b21ff7dcf0ec1fb5f,3e11a1280b21b407005090811655a11c0859dd67a83bfa8dc76526c82c64cb3a,30802,4,4e2ac84acb9d3542b732144ee580f0d63470247708ca53fec71d671f0648aff4,The evidence distinguishes between two primary genomic driver profiles in non-small cell lung carcinoma (NSCLC) adenocarcinomas: those harboring the KRAS G12C mutation (often associated with STK11 or CDKN2A loss) and those harboring EGFR exon 19 deletions (often associated with MET amplification). TP53 R273C is a common co-mutation across both groups.
inner_002_query_000_original,True,2026-09-22T15:04:53.522620+00:00,2,original,24,2,d64a83f00c159d7d365a343d7271d4e0e96b9bec4ceeda7c3eabf50ce561bc2b,56936e130b49f984e3ccd390282fbc75578c5674b3697ca45232b65bfd9b98e4,50280,0,9c34fa726234fa5783ebff053d8377f3b428ebb76c22a9a5148685966171a107,"The evidence identifies a consistent genomic profile for squamous non-small cell lung cancer (NSCLC) characterized by KRAS G12C and TP53 R273C mutations. However, variation in STK11 status and PD-L1 expression levels is highlighted as potentially modifying the efficacy of immune checkpoint inhibitors."
inner_002_query_000_random,True,2026-09-22T15:01:16.551076+00:00,2,random,14,2,c51d04bf02cef1a981ae24d12f49f99a869d42ac892dd9b9d80e6f7fd6878a8d,e80c2c6ef9edff58c04cefd3ce017dc10d396aca8adcb8241a1d2635bdee78e8,27794,0,0adce95214a963f5baebf06af9d4eff61816fafa27d367273568a8bbe9adf413,"The provided evidence contains genomic profiling results from multiple patients with non-small cell lung cancer (NSCLC), highlighting recurrent alterations in CDKN2A and KRAS, particularly in squamous cell carcinoma and adenocarcinoma histologies."
inner_002_query_000_targeted,True,2026-09-22T15:03:18.172621+00:00,2,targeted,12,2,505b7b398991b1c56c6ece1481dddc540aefa3e07db01a3b53b49880853a7937,27d27a7af856beceecd10c7850cc2da569826e058252987f53262aa24abc820e,21410,0,65c721a12611c19b8a033180fc35730ebe8b41db809c08d6dbeb00de08720a63,"The provided evidence suggests that specific genomic alterations in non-small cell lung cancer (NSCLC), particularly CDKN2A homozygous loss and TP53 p.R273C mutations, are associated with more aggressive disease biology, poorer prognosis, and potential sensitivity to targeted therapies such as CDK4/6 inhibitors."
inner_002_query_001_original,True,2026-09-22T15:03:17.320840+00:00,2,original,24,2,be6ecaf6f29a3843a1f30aac61ecbd81c14273af1baa859986a5793813809e9c,0181fc7ff15cb03794eb2d8de2c732e8f122f72b9b39c2cfd56f8170a5cc1208,51916,1,a233e6e0a5e99faa9fdc39bfe69155841c667861cc1ce948ab51399787309ef3,The evidence identifies baseline clinical characteristics including functional status (ECOG performance status) and smoking history across a cohort of patients undergoing post-surgical surveillance for lung adenocarcinoma and large-cell carcinoma.
inner_002_query_001_random,True,2026-09-22T15:02:12.193782+00:00,2,random,12,2,f6629e5df8e868f943a970d278e76bb6935138b1841bb28b15152f225ba87c30,fa70597864e1cd9960bff9dd7729834caa4a3f5479faf218ee159ec5fb84109c,21526,1,3e761c97672497a41636c6004c485ea672f42d5be19bfcd532e4c31d7581bc4d,"The evidence describes patients with non-small cell lung cancer (NSCLC) adenocarcinoma following right upper lobectomy and adjuvant chemotherapy. Key baseline clinical distinctions include the presence of EGFR mutations, functional status via ECOG performance score, and renal function measured by eGFR."
inner_002_query_001_targeted,True,2026-09-22T15:03:35.761116+00:00,2,targeted,12,2,88d1b68171a2707ba61a5749d9769768edc4cde271e627044f9cc0bc7a88b45b,4c448cd3caa8b2a7b9833721e1fe464d80f9de662868ed1693bdf58e7bf99079,21748,1,c1f0dbc8cf0eb3b2364c8880e15c553a4a9187c8051e455862d1da73efcff8eb,"The provided clinical excerpts for patients with resected non-small cell lung adenocarcinoma (NSCLC) indicate distinctions in molecular driver status (specifically EGFR mutations) and functional baseline status (ECOG performance status), which are standard predictors for targeted therapy eligibility and general prognosis."
