target,family,scope,mode,kind,radius,loss,gain_over_constant,loss_increase_from_original
effect,constant,constant,constant,constant,0.0,0.19676946329252562,0.0,
effect,linear,conditional,frozen,random,0.02,0.21782168774022248,-0.02105222444769685,-3.4609864243040355e-07
effect,linear,conditional,frozen,random,0.05,0.21783937258994807,-0.02106990929742244,1.7338751083155525e-05
effect,linear,conditional,frozen,random,0.1,0.21790667086046273,-0.02113720756793711,8.463702159782272e-05
effect,linear,conditional,frozen,random,0.2,0.21905646547455948,-0.02228700218203386,0.0012344316356945743
effect,linear,conditional,frozen,targeted,0.02,0.21768024760313762,-0.020910784310611982,-0.00014178623572730142
effect,linear,conditional,frozen,targeted,0.05,0.21766324355189115,-0.02089378025936553,-0.00015879028697375342
effect,linear,conditional,frozen,targeted,0.1,0.21810439360056175,-0.021334930308036137,0.0002823597616968543
effect,linear,conditional,frozen,targeted,0.2,0.21953943926781996,-0.022769975975294333,0.00171740542895505
effect,linear,conditional,original,original,0.0,0.2178220338388649,-0.021052570546339286,0.0
effect,linear,conditional,refit,random,0.02,0.21782241450632703,-0.021052951213801404,3.8066746212161994e-07
effect,linear,conditional,refit,random,0.05,0.21782384376791297,-0.02105438047538734,1.8099290480564356e-06
effect,linear,conditional,refit,random,0.1,0.2178230882327155,-0.0210536249401899,1.0543938506191175e-06
effect,linear,conditional,refit,random,0.2,0.2177986219412428,-0.02102915864871717,-2.3411897622114265e-05
effect,linear,conditional,refit,targeted,0.02,0.21781997211129106,-0.021050508818765423,-2.0617275738610273e-06
effect,linear,conditional,refit,targeted,0.05,0.21784371478459646,-0.021074251492070855,2.1680945731570313e-05
effect,linear,conditional,refit,targeted,0.1,0.2178687205115366,-0.02109925721901099,4.668667267170634e-05
effect,linear,conditional,refit,targeted,0.2,0.21782261151120363,-0.02105314821867799,5.776723387063143e-07
effect,linear,conditional,without_query,without_query,0.0,0.21576112191575814,-0.018991658623232516,-0.0020609119231067697
effect,linear,solo,frozen,random,0.02,0.2057910480929462,-0.009021584800420568,-1.857881274512696e-06
effect,linear,solo,frozen,random,0.05,0.2058345069939427,-0.009065043701417076,4.160101972199493e-05
effect,linear,solo,frozen,random,0.1,0.20596481127781394,-0.009195347985288312,0.00017190530359323297
effect,linear,solo,frozen,random,0.2,0.20741697730167355,-0.01064751400914791,0.0016240713274528291
effect,linear,solo,frozen,targeted,0.02,0.20565135521815375,-0.008881891925628115,-0.00014155075606696598
effect,linear,solo,frozen,targeted,0.05,0.20577549397866884,-0.009006030686143241,-1.7411995551839253e-05
effect,linear,solo,frozen,targeted,0.1,0.20654538215326457,-0.009775918860738945,0.0007524761790438639
effect,linear,solo,frozen,targeted,0.2,0.2087850636216289,-0.01201560032910328,0.002992157647408199
effect,linear,solo,original,original,0.0,0.2057929059742207,-0.00902344268169508,0.0
effect,linear,solo,refit,random,0.02,0.20578986228754106,-0.00902039899501545,-3.0436866796312854e-06
effect,linear,solo,refit,random,0.05,0.20579011880543388,-0.00902065551290825,-2.7871687868317176e-06
effect,linear,solo,refit,random,0.1,0.2057919038016949,-0.00902244050916928,-1.0021725258011482e-06
effect,linear,solo,refit,random,0.2,0.20573546320497613,-0.008965999912450489,-5.744276924459224e-05
effect,linear,solo,refit,targeted,0.02,0.20568620706102267,-0.008916743768497049,-0.00010669891319803226
effect,linear,solo,refit,targeted,0.05,0.20543205200348563,-0.008662588710960014,-0.00036085397073506775
effect,linear,solo,refit,targeted,0.1,0.20470619123523448,-0.00793672794270886,-0.0010867147389862209
effect,linear,solo,refit,targeted,0.2,0.2022576190228941,-0.005488155730368485,-0.003535286951326596
effect,spline,conditional,frozen,random,0.02,0.20528989100210582,-0.008520427709580183,-9.458529436682683e-06
effect,spline,conditional,frozen,random,0.05,0.20524228757720936,-0.00847282428468373,-5.706195433313499e-05
effect,spline,conditional,frozen,random,0.1,0.20508623878454343,-0.00831677549201782,-0.00021311074699904476
effect,spline,conditional,frozen,random,0.2,0.204679712061851,-0.007910248769325386,-0.0006196374696914792
effect,spline,conditional,frozen,targeted,0.02,0.20556645707916196,-0.008796993786636356,0.00026710754761949065
effect,spline,conditional,frozen,targeted,0.05,0.20616949247271865,-0.009400029180193042,0.0008701429411761774
effect,spline,conditional,frozen,targeted,0.1,0.2069083748887995,-0.010138911596273866,0.0016090253572570011
effect,spline,conditional,frozen,targeted,0.2,0.2072308660042599,-0.010461402711734265,0.0019315164727173994
effect,spline,conditional,original,original,0.0,0.2052993495315425,-0.008529886239016866,0.0
effect,spline,conditional,refit,random,0.02,0.20529995539233872,-0.00853049209981308,6.058607962160512e-07
effect,spline,conditional,refit,random,0.05,0.20530260127334704,-0.008533137980821424,3.251741804558783e-06
effect,spline,conditional,refit,random,0.1,0.20530636609971223,-0.008536902807186605,7.016568169739834e-06
effect,spline,conditional,refit,random,0.2,0.20527517648670116,-0.008505713194175526,-2.4173044841338864e-05
effect,spline,conditional,refit,targeted,0.02,0.20534285742305916,-0.008573394130533511,4.350789151664647e-05
effect,spline,conditional,refit,targeted,0.05,0.20541283276640607,-0.00864336947388043,0.00011348323486356504
effect,spline,conditional,refit,targeted,0.1,0.20552263484372685,-0.0087531715512012,0.0002232853121843348
effect,spline,conditional,refit,targeted,0.2,0.20545563057079216,-0.008686167278266535,0.0001562810392496694
effect,spline,conditional,without_query,without_query,0.0,0.2041814571110091,-0.007411993818483474,-0.0011178924205333908
effect,spline,solo,frozen,random,0.02,0.19894490745441426,-0.0021754441618886135,-1.1777769604968347e-05
effect,spline,solo,frozen,random,0.05,0.19889349088040295,-0.0021240275878773524,-6.3194343616229e-05
effect,spline,solo,frozen,random,0.1,0.1987353703110765,-0.0019659070185508594,-0.0002213149129427221
effect,spline,solo,frozen,random,0.2,0.19853416588259612,-0.001764702590070478,-0.00042251934142310344
effect,spline,solo,frozen,targeted,0.02,0.19937564014093614,-0.0026061768484105063,0.0004189549169169249
effect,spline,solo,frozen,targeted,0.05,0.20043168494996602,-0.0036622216574404096,0.0014749997259468283
effect,spline,solo,frozen,targeted,0.1,0.20195399545285123,-0.005184532160325618,0.002997310228832036
effect,spline,solo,frozen,targeted,0.2,0.20357332552494115,-0.006803862232415503,0.004616640300921921
effect,spline,solo,original,original,0.0,0.1989566852240192,-0.0021872219314935815,0.0
effect,spline,solo,refit,random,0.02,0.1989578992098832,-0.002188435917357568,1.2139858639863555e-06
effect,spline,solo,refit,random,0.05,0.19896241645302,-0.0021929531604943956,5.73122900081402e-06
effect,spline,solo,refit,random,0.1,0.19896576756153875,-0.0021963042690131065,9.082337519524808e-06
effect,spline,solo,refit,random,0.2,0.19892503686042556,-0.0021555735678999524,-3.16483635936291e-05
effect,spline,solo,refit,targeted,0.02,0.1990342851286996,-0.002264821836173999,7.759990468041767e-05
effect,spline,solo,refit,targeted,0.05,0.19914596547920493,-0.00237650218667931,0.00018928025518572867
effect,spline,solo,refit,targeted,0.1,0.19922579905552468,-0.0024563357629990333,0.00026911383150545197
effect,spline,solo,refit,targeted,0.2,0.19871549974341618,-0.0019460364508905549,-0.00024118548060302668
outcome,constant,constant,constant,constant,0.0,0.6881565694595227,0.0,
outcome,linear,conditional,frozen,random,0.02,0.6440984555316468,0.04405811392787594,1.3929475057664398e-05
outcome,linear,conditional,frozen,random,0.05,0.644137020151298,0.04401954930822468,5.24940947089183e-05
outcome,linear,conditional,frozen,random,0.1,0.6443880466622561,0.04376852279726667,0.0003035206056669359
outcome,linear,conditional,frozen,random,0.2,0.6479595022083383,0.04019706725118441,0.003874976151749199
outcome,linear,conditional,frozen,targeted,0.02,0.644223187740717,0.04393338171880576,0.00013866168412785207
outcome,linear,conditional,frozen,targeted,0.05,0.6454454404419139,0.0427111290176089,0.0013609143853246985
outcome,linear,conditional,frozen,targeted,0.1,0.6481700483670727,0.03998652109245008,0.004085522310483523
outcome,linear,conditional,frozen,targeted,0.2,0.6536887608027204,0.03446780865680227,0.009604234746131333
outcome,linear,conditional,original,original,0.0,0.6440845260565891,0.0440720434029336,0.0
outcome,linear,conditional,refit,random,0.02,0.6440890014424021,0.044067568017120654,4.475385812947152e-06
outcome,linear,conditional,refit,random,0.05,0.6440999387543602,0.04405663070516252,1.5412697771085782e-05
