sample,target,kind,radius,mean_abs_fixed_scale_score,mean_distance,mean_abs_studentized_score,mean_training_sd_ratio,mean_activation_correlation
train,effect,original,0.0,3.610655035928789,0.0,3.610655035928789,1.0,1.0
train,effect,random,0.02,3.6099717496838903,0.012478322917632739,3.6106419130499003,0.9998081169128418,0.9999967611210153
train,effect,random,0.05,3.6071486621613666,0.04179634490981698,3.609888810883057,0.9994358401298523,0.9999754540105397
train,effect,random,0.1,3.589834036327016,0.08917991444468498,3.6072509244557436,0.9956313695907593,0.9998936333104822
train,effect,random,0.2,3.523586966782916,0.18387262970209123,3.6015750169539724,0.9797028007507325,0.9994873722441526
train,effect,targeted,0.02,3.464969976928025,0.012478322917632739,3.557853831855233,0.9788257145881653,0.9995103992313965
train,effect,targeted,0.05,3.1647016545452016,0.04179634490981698,3.429474523917323,0.9331634783744812,0.9957117056268939
train,effect,targeted,0.1,2.731562431833374,0.08917991444468498,3.184185670414669,0.8788422465324401,0.9819735933051842
train,effect,targeted,0.2,1.859907764841467,0.18387262970209123,2.481709569848269,0.8008914232254029,0.9136858547589299
train,outcome,original,0.0,0.9652928761582372,0.0,0.9652928761582372,1.0,1.0
train,outcome,random,0.02,0.965778501423602,0.012478322917632739,0.9658992270276155,0.9998081169128418,0.9999967611210153
train,outcome,random,0.05,0.963218336895402,0.04179634490981698,0.9636851033673736,0.9994358401298523,0.9999754540105397
train,outcome,random,0.1,0.9592132335601781,0.08917991444468498,0.9629407486616969,0.9956313695907593,0.9998936333104822
train,outcome,random,0.2,0.9435728343601587,0.18387262970209123,0.961265928203782,0.9797028007507325,0.9994873722441526
train,outcome,targeted,0.02,0.9531974855559269,0.012478322917632739,0.9693893837785899,0.9788257145881653,0.9995103992313965
train,outcome,targeted,0.05,0.926975340233299,0.04179634490981698,0.9758963109795531,0.9331634783744812,0.9957117056268939
train,outcome,targeted,0.1,0.9065263784828427,0.08917991444468498,0.9993030012898579,0.8788422465324401,0.9819735933051842
train,outcome,targeted,0.2,0.88677968701439,0.18387262970209123,1.0554923401935628,0.8008914232254029,0.9136858547589299
train,treatment,original,0.0,0.845295125826563,0.0,0.845295125826563,1.0,1.0
train,treatment,random,0.02,0.845465942042764,0.012478322917632739,0.8455927346083852,0.9998081169128418,0.9999967611210153
train,treatment,random,0.05,0.8456903228615896,0.04179634490981698,0.8460908963228835,0.9994358401298523,0.9999754540105397
train,treatment,random,0.1,0.8457135830193566,0.08917991444468498,0.8496438869712722,0.9956313695907593,0.9998936333104822
train,treatment,random,0.2,0.8306684020326882,0.18387262970209123,0.848522362460028,0.9797028007507325,0.9994873722441526
train,treatment,targeted,0.02,0.8215968259733246,0.012478322917632739,0.8403672620614651,0.9788257145881653,0.9995103992313965
train,treatment,targeted,0.05,0.773549383734148,0.04179634490981698,0.836342585076218,0.9331634783744812,0.9957117056268939
